model_name,yr,ssb,rec_estimated
AltSel_F1,1985,42136.1,455.331
AltSel_F1,1986,36758.2,439.515
AltSel_F1,1987,32637.2,426.044
AltSel_F1,1988,30381.6,419.352
AltSel_F1,1989,28132.5,411.587
AltSel_F1,1990,24739,392.942
AltSel_F1,1991,22279.3,340.274
AltSel_F1,1992,21098.4,329.21
AltSel_F1,1993,20488.3,330.089
AltSel_F1,1994,19343.4,321.639
AltSel_F1,1995,18595.6,342.393
AltSel_F1,1996,17539.1,348.099
AltSel_F1,1997,16738.9,338.387
AltSel_F1,1998,16238.6,347.985
AltSel_F1,1999,16040.8,351.107
AltSel_F1,2000,16119.9,308.924
AltSel_F1,2001,16185.1,289.152
base-model,1971,48277.9,4272.03
base-model,1972,48277.5,4805.68
base-model,1973,48201.4,6008.31
base-model,1974,47738.2,9082.26
base-model,1975,47136.1,5823.46
base-model,1976,45986.3,6961.95
base-model,1977,44511.1,6284.59
base-model,1978,42223.8,8478.12
base-model,1979,40166.6,4385.02
base-model,1980,38167.1,4232.85
base-model,1981,36009.5,5968.05
base-model,1982,32140,4197.88
base-model,1983,28562.9,3721.56
base-model,1984,25737.2,5071.53
base-model,1985,22494.1,6210.66
base-model,1986,18179.5,4708.16
base-model,1987,15021.8,6192.02
base-model,1988,13602.2,5204.95
base-model,1989,12227.1,4509.74
base-model,1990,9899.19,3725.74
base-model,1991,8509.05,2175.86
base-model,1992,8280.39,1593.49
base-model,1993,8528.01,1536.06
base-model,1994,8196.34,2338.77
base-model,1995,7996.48,2973.53
base-model,1996,7254.04,2182.4
base-model,1997,6510.93,7236.34
base-model,1998,5909.65,2723.78
base-model,1999,5558.96,2233.26
base-model,2000,5515.03,3655.92
base-model,2001,5578.43,2739.21
nat_M,1971,37772.1,28530.5
nat_M,1972,37773.4,19939.6
nat_M,1973,37694.2,20432.8
nat_M,1974,37211,39544.9
nat_M,1975,36788.6,24064.7
nat_M,1976,35960,19547.4
nat_M,1977,34985.2,23583.8
nat_M,1978,33271.3,35999.6
nat_M,1979,32075.5,12824.4
nat_M,1980,30954.9,13133.6
nat_M,1981,29545.5,18911.9
nat_M,1982,26136.9,10789.9
nat_M,1983,23153.4,11654.7
nat_M,1984,20888.5,16289.8
nat_M,1985,17924.1,12785.2
nat_M,1986,13655,11134.2
nat_M,1987,10676,18330.2
nat_M,1988,9586.44,9871.94
nat_M,1989,8505.84,13118.1
nat_M,1990,7248.53,13692
nat_M,1991,6581.6,6109.17
nat_M,1992,6642.13,5098.73
nat_M,1993,7116.1,4978.03
nat_M,1994,6918.4,5586.25
nat_M,1995,6832.13,8806.93
nat_M,1996,6099.04,9661.09
nat_M,1997,5319.17,13986.7
nat_M,1998,4686.18,12548.7
nat_M,1999,4384.09,9229.97
nat_M,2000,4520.62,7250.38
nat_M,2001,4861.34,6650.84
steepness-0.5,1971,48766.7,4228.61
steepness-0.5,1972,48766.3,4788.73
steepness-0.5,1973,48689.9,6025.61
steepness-0.5,1974,48225.3,9056.99
steepness-0.5,1975,47617.9,5782.48
steepness-0.5,1976,46456.5,6971.06
steepness-0.5,1977,44963,6303.98
steepness-0.5,1978,42651.5,8403.01
steepness-0.5,1979,40565.5,4395.7
steepness-0.5,1980,38534.3,4235.04
steepness-0.5,1981,36344,5924.26
steepness-0.5,1982,32439.6,4195.92
steepness-0.5,1983,28828.1,3702.16
steepness-0.5,1984,25970.4,4986.17
steepness-0.5,1985,22696.4,6220.21
steepness-0.5,1986,18350.6,4646.9
steepness-0.5,1987,15164.9,6086.64
steepness-0.5,1988,13720.9,5146.45
steepness-0.5,1989,12320.3,4439.2
steepness-0.5,1990,9962.85,3619.79
steepness-0.5,1991,8543.58,2086.42
steepness-0.5,1992,8286.71,1514.9
steepness-0.5,1993,8504.74,1450.56
steepness-0.5,1994,8139,2229.38
steepness-0.5,1995,7903.94,2826.84
steepness-0.5,1996,7123.98,1953.29
steepness-0.5,1997,6344.02,6854.53
steepness-0.5,1998,5706.32,2377.8
steepness-0.5,1999,5316.97,1955.35
steepness-0.5,2000,5226.76,3250.42
steepness-0.5,2001,5229.04,2207.38
steepness-0.6,1971,48123.5,4288.93
steepness-0.6,1972,48123.1,4813.29
steepness-0.6,1973,48047,6004.64
steepness-0.6,1974,47584.4,9093.15
steepness-0.6,1975,46984,5837.8
steepness-0.6,1976,45838.2,6961.77
steepness-0.6,1977,44369.3,6279.97
steepness-0.6,1978,42090.4,8504.88
steepness-0.6,1979,40043.1,4382.61
steepness-0.6,1980,38054.5,4233.19
steepness-0.6,1981,35908.1,5984.08
steepness-0.6,1982,32050.4,4199.76
steepness-0.6,1983,28485,3728.78
steepness-0.6,1984,25670,5099.93
steepness-0.6,1985,22437.2,6212.05
steepness-0.6,1986,18132.9,4729.56
steepness-0.6,1987,14984.2,6229.81
steepness-0.6,1988,13572.6,5228.31
steepness-0.6,1989,12205.9,4536.43
steepness-0.6,1990,9887.77,3764.21
steepness-0.6,1991,8507.42,2208.19
steepness-0.6,1992,8288.55,1621.87
steepness-0.6,1993,8546.65,1566.66
steepness-0.6,1994,8227.02,2379.6
steepness-0.6,1995,8039.68,3029.89
steepness-0.6,1996,7310.51,2263.87
steepness-0.6,1997,6580.43,7385.58
steepness-0.6,1998,5992.09,2849.55
steepness-0.6,1999,5655.3,2336.19
steepness-0.6,2000,5628.21,3807.74
steepness-0.6,2001,5714.06,2937.82
steepness-0.7,1971,47617.3,4359.3
steepness-0.7,1972,47617,4848.54
steepness-0.7,1973,47541.2,6000.66
steepness-0.7,1974,47080.3,9142.36
steepness-0.7,1975,46486.7,5892.02
steepness-0.7,1976,45355.6,6973.52
steepness-0.7,1977,43909.8,6271.73
steepness-0.7,1978,41661.6,8608.02
steepness-0.7,1979,39650.5,4379.86
steepness-0.7,1980,37701.4,4239.74
steepness-0.7,1981,35595.8,6048.32
steepness-0.7,1982,31781.2,4213.22
steepness-0.7,1983,28257.6,3759.27
steepness-0.7,1984,25480.9,5203.47
steepness-0.7,1985,22284.3,6237.85
steepness-0.7,1986,18015.8,4813.99
steepness-0.7,1987,14898.8,6379.73
steepness-0.7,1988,13515.2,5331.82
steepness-0.7,1989,12178.3,4648.88
steepness-0.7,1990,9894.9,3918.45
steepness-0.7,1991,8550.44,2336.75
steepness-0.7,1992,8368.95,1734.52
steepness-0.7,1993,8668.1,1687.03
steepness-0.7,1994,8395.35,2547.51
steepness-0.7,1995,8257.22,3267.8
steepness-0.7,1996,7579.57,2580.47
steepness-0.7,1997,6900.13,8027.73
steepness-0.7,1998,6362.3,3348.81
steepness-0.7,1999,6080.3,2752.45
steepness-0.7,2000,6120.46,4429.37
steepness-0.7,2001,6296.77,3731.4
test-new-version,1971,47617.3,4359.3
test-new-version,1972,47617,4848.54
test-new-version,1973,47541.2,6000.66
test-new-version,1974,47080.3,9142.36
test-new-version,1975,46486.7,5892.02
test-new-version,1976,45355.6,6973.52
test-new-version,1977,43909.8,6271.73
test-new-version,1978,41661.6,8608.02
test-new-version,1979,39650.5,4379.86
test-new-version,1980,37701.4,4239.74
test-new-version,1981,35595.8,6048.32
test-new-version,1982,31781.2,4213.22
test-new-version,1983,28257.6,3759.27
test-new-version,1984,25480.9,5203.47
test-new-version,1985,22284.3,6237.85
test-new-version,1986,18015.8,4813.99
test-new-version,1987,14898.8,6379.73
test-new-version,1988,13515.2,5331.82
test-new-version,1989,12178.3,4648.88
test-new-version,1990,9894.9,3918.45
test-new-version,1991,8550.44,2336.75
test-new-version,1992,8368.95,1734.52
test-new-version,1993,8668.1,1687.03
test-new-version,1994,8395.35,2547.51
test-new-version,1995,8257.22,3267.8
test-new-version,1996,7579.57,2580.47
test-new-version,1997,6900.13,8027.73
test-new-version,1998,6362.3,3348.81
test-new-version,1999,6080.3,2752.45
test-new-version,2000,6120.46,4429.37
test-new-version,2001,6296.77,3731.4
