model_name,ssb,rec_actual
AltSel_F1,742.836,30.2926
AltSel_F1,1485.67,58.1813
AltSel_F1,2228.51,83.9445
AltSel_F1,2971.35,107.816
AltSel_F1,3714.18,129.998
AltSel_F1,4457.02,150.662
AltSel_F1,5199.86,169.96
AltSel_F1,5942.69,188.023
AltSel_F1,6685.53,204.965
AltSel_F1,7428.36,220.888
AltSel_F1,8171.2,235.881
AltSel_F1,8914.04,250.023
AltSel_F1,9656.87,263.385
AltSel_F1,10399.7,276.029
AltSel_F1,11142.5,288.012
AltSel_F1,11885.4,299.384
AltSel_F1,12628.2,310.191
AltSel_F1,13371.1,320.474
AltSel_F1,14113.9,330.27
AltSel_F1,14856.7,339.613
AltSel_F1,15599.6,348.534
AltSel_F1,16342.4,357.06
AltSel_F1,17085.2,365.218
AltSel_F1,17828.1,373.03
AltSel_F1,18570.9,380.519
AltSel_F1,19313.7,387.703
AltSel_F1,20056.6,394.601
AltSel_F1,20799.4,401.23
AltSel_F1,21542.3,407.606
AltSel_F1,22285.1,413.741
AltSel_F1,23027.9,419.651
AltSel_F1,23770.8,425.347
AltSel_F1,24513.6,430.84
AltSel_F1,25256.4,436.141
AltSel_F1,25999.3,441.26
AltSel_F1,26742.1,446.206
AltSel_F1,27484.9,450.988
AltSel_F1,28227.8,455.614
AltSel_F1,28970.6,460.092
AltSel_F1,29713.5,464.427
AltSel_F1,30456.3,468.628
AltSel_F1,31199.1,472.7
AltSel_F1,31942,476.649
AltSel_F1,32684.8,480.481
AltSel_F1,33427.6,484.2
AltSel_F1,34170.5,487.812
AltSel_F1,34913.3,491.321
AltSel_F1,35656.1,494.731
AltSel_F1,36399,498.047
AltSel_F1,37141.8,501.273
AltSel_F1,37884.7,504.411
AltSel_F1,38627.5,507.467
AltSel_F1,39370.3,510.442
AltSel_F1,40113.2,513.34
AltSel_F1,40856,516.164
AltSel_F1,41598.8,518.916
AltSel_F1,42341.7,521.601
AltSel_F1,43084.5,524.219
AltSel_F1,43827.3,526.773
AltSel_F1,44570.2,529.266
AltSel_F1,45313,531.7
AltSel_F1,46055.9,534.076
AltSel_F1,46798.7,536.398
AltSel_F1,47541.5,538.666
AltSel_F1,48284.4,540.883
AltSel_F1,49027.2,543.05
AltSel_F1,49770,545.17
AltSel_F1,50512.9,547.242
AltSel_F1,51255.7,549.27
AltSel_F1,51998.6,551.255
AltSel_F1,52741.4,553.197
AltSel_F1,53484.2,555.098
AltSel_F1,54227.1,556.96
AltSel_F1,54969.9,558.784
AltSel_F1,55712.7,560.57
AltSel_F1,56455.6,562.321
AltSel_F1,57198.4,564.036
AltSel_F1,57941.2,565.718
AltSel_F1,58684.1,567.367
AltSel_F1,59426.9,568.984
AltSel_F1,60169.8,570.57
AltSel_F1,60912.6,572.125
AltSel_F1,61655.4,573.652
AltSel_F1,62398.3,575.15
AltSel_F1,63141.1,576.62
AltSel_F1,63883.9,578.063
AltSel_F1,64626.8,579.48
AltSel_F1,65369.6,580.872
AltSel_F1,66112.4,582.239
AltSel_F1,66855.3,583.582
AltSel_F1,67598.1,584.901
AltSel_F1,68341,586.197
AltSel_F1,69083.8,587.471
AltSel_F1,69826.6,588.724
AltSel_F1,70569.5,589.955
AltSel_F1,71312.3,591.165
AltSel_F1,72055.1,592.356
AltSel_F1,72798,593.526
AltSel_F1,73540.8,594.678
AltSel_F1,74283.6,595.811
AltSel_F1,75026.5,596.925
AltSel_F1,75769.3,598.022
AltSel_F1,76512.2,599.102
AltSel_F1,77255,600.164
AltSel_F1,77997.8,601.21
AltSel_F1,78740.7,602.24
AltSel_F1,79483.5,603.254
AltSel_F1,80226.3,604.252
AltSel_F1,80969.2,605.236
AltSel_F1,81712,606.204
AltSel_F1,82454.8,607.158
AltSel_F1,83197.7,608.098
AltSel_F1,83940.5,609.025
AltSel_F1,84683.4,609.937
AltSel_F1,85426.2,610.837
AltSel_F1,86169,611.724
AltSel_F1,86911.9,612.598
AltSel_F1,87654.7,613.459
AltSel_F1,88397.5,614.309
AltSel_F1,89140.4,615.146
base-model,482.779,318.903
base-model,965.558,612.024
base-model,1448.34,882.422
base-model,1931.12,1132.64
base-model,2413.9,1364.86
base-model,2896.68,1580.95
base-model,3379.45,1782.54
base-model,3862.23,1971.04
base-model,4345.01,2147.68
base-model,4827.79,2313.55
base-model,5310.57,2469.61
base-model,5793.35,2616.7
base-model,6276.13,2755.57
base-model,6758.91,2886.89
base-model,7241.69,3011.27
base-model,7724.47,3129.23
base-model,8207.25,3241.27
base-model,8690.03,3347.81
base-model,9172.81,3449.26
base-model,9655.58,3545.97
base-model,10138.4,3638.26
base-model,10621.1,3726.43
base-model,11103.9,3810.75
base-model,11586.7,3891.46
base-model,12069.5,3968.8
base-model,12552.3,4042.97
base-model,13035,4114.16
base-model,13517.8,4182.55
base-model,14000.6,4248.3
base-model,14483.4,4311.55
base-model,14966.2,4372.46
base-model,15448.9,4431.14
base-model,15931.7,4487.72
base-model,16414.5,4542.31
base-model,16897.3,4595.01
base-model,17380.1,4645.91
base-model,17862.8,4695.12
base-model,18345.6,4742.7
base-model,18828.4,4788.75
base-model,19311.2,4833.32
base-model,19793.9,4876.51
base-model,20276.7,4918.35
base-model,20759.5,4958.93
base-model,21242.3,4998.29
base-model,21725.1,5036.49
base-model,22207.8,5073.58
base-model,22690.6,5109.61
base-model,23173.4,5144.62
base-model,23656.2,5178.65
base-model,24139,5211.75
base-model,24621.7,5243.95
base-model,25104.5,5275.29
base-model,25587.3,5305.81
base-model,26070.1,5335.53
base-model,26552.9,5364.48
base-model,27035.6,5392.7
base-model,27518.4,5420.22
base-model,28001.2,5447.05
base-model,28484,5473.23
base-model,28966.8,5498.77
base-model,29449.5,5523.7
base-model,29932.3,5548.05
base-model,30415.1,5571.83
base-model,30897.9,5595.06
base-model,31380.7,5617.76
base-model,31863.4,5639.95
base-model,32346.2,5661.65
base-model,32829,5682.87
base-model,33311.8,5703.62
base-model,33794.5,5723.93
base-model,34277.3,5743.81
base-model,34760.1,5763.26
base-model,35242.9,5782.31
base-model,35725.7,5800.97
base-model,36208.4,5819.24
base-model,36691.2,5837.15
base-model,37174,5854.69
base-model,37656.8,5871.89
base-model,38139.6,5888.75
base-model,38622.3,5905.29
base-model,39105.1,5921.5
base-model,39587.9,5937.4
base-model,40070.7,5953.01
base-model,40553.5,5968.32
base-model,41036.2,5983.35
base-model,41519,5998.1
base-model,42001.8,6012.58
base-model,42484.6,6026.8
base-model,42967.4,6040.77
base-model,43450.1,6054.49
base-model,43932.9,6067.96
base-model,44415.7,6081.21
base-model,44898.5,6094.22
base-model,45381.2,6107.01
base-model,45864,6119.59
base-model,46346.8,6131.95
base-model,46829.6,6144.11
base-model,47312.4,6156.06
base-model,47795.1,6167.82
base-model,48277.9,6179.39
base-model,48760.7,6190.77
base-model,49243.5,6201.96
base-model,49726.3,6212.98
base-model,50209,6223.83
base-model,50691.8,6234.51
base-model,51174.6,6245.02
base-model,51657.4,6255.37
base-model,52140.2,6265.56
base-model,52622.9,6275.59
base-model,53105.7,6285.48
base-model,53588.5,6295.21
base-model,54071.3,6304.81
base-model,54554.1,6314.26
base-model,55036.8,6323.57
base-model,55519.6,6332.75
base-model,56002.4,6341.79
base-model,56485.2,6350.71
base-model,56968,6359.5
base-model,57450.7,6368.16
base-model,57933.5,6376.71
nat_M,377.721,1091.79
nat_M,755.442,2095.25
nat_M,1133.16,3020.92
nat_M,1510.88,3877.52
nat_M,1888.6,4672.49
nat_M,2266.33,5412.25
nat_M,2644.05,6102.36
nat_M,3021.77,6747.66
nat_M,3399.49,7352.38
nat_M,3777.21,7920.22
nat_M,4154.93,8454.46
nat_M,4532.65,8958
nat_M,4910.37,9433.41
nat_M,5288.09,9882.98
nat_M,5665.81,10308.8
nat_M,6043.53,10712.6
nat_M,6421.26,11096.1
nat_M,6798.98,11460.9
nat_M,7176.7,11808.2
