Sex,Yr,age,value,model_name
Females,2001,0,0.1,AltSel_F1
Males,2001,0,0.1,AltSel_F1
Females,2001,1,0.1,AltSel_F1
Males,2001,1,0.1,AltSel_F1
Females,2001,2,0.1,AltSel_F1
Males,2001,2,0.1,AltSel_F1
Females,2001,3,0.1,AltSel_F1
Males,2001,3,0.1,AltSel_F1
Females,2001,4,0.1,AltSel_F1
Males,2001,4,0.1,AltSel_F1
Females,2001,5,0.1,AltSel_F1
Males,2001,5,0.1,AltSel_F1
Females,2001,6,0.1,AltSel_F1
Males,2001,6,0.1,AltSel_F1
Females,2001,7,0.1,AltSel_F1
Males,2001,7,0.1,AltSel_F1
Females,2001,8,0.1,AltSel_F1
Males,2001,8,0.1,AltSel_F1
Females,2001,9,0.1,AltSel_F1
Males,2001,9,0.1,AltSel_F1
Females,2001,10,0.1,AltSel_F1
Males,2001,10,0.1,AltSel_F1
Females,2001,11,0.1,AltSel_F1
Males,2001,11,0.1,AltSel_F1
Females,2001,12,0.1,AltSel_F1
Males,2001,12,0.1,AltSel_F1
Females,2001,13,0.1,AltSel_F1
Males,2001,13,0.1,AltSel_F1
Females,2001,14,0.1,AltSel_F1
Males,2001,14,0.1,AltSel_F1
Females,2001,15,0.1,AltSel_F1
Males,2001,15,0.1,AltSel_F1
Females,2001,16,0.1,AltSel_F1
Males,2001,16,0.1,AltSel_F1
Females,2001,17,0.1,AltSel_F1
Males,2001,17,0.1,AltSel_F1
Females,2001,18,0.1,AltSel_F1
Males,2001,18,0.1,AltSel_F1
Females,2001,19,0.1,AltSel_F1
Males,2001,19,0.1,AltSel_F1
Females,2001,20,0.1,AltSel_F1
Males,2001,20,0.1,AltSel_F1
Females,2001,21,0.1,AltSel_F1
Males,2001,21,0.1,AltSel_F1
Females,2001,22,0.1,AltSel_F1
Males,2001,22,0.1,AltSel_F1
Females,2001,23,0.1,AltSel_F1
Males,2001,23,0.1,AltSel_F1
Females,2001,24,0.1,AltSel_F1
Males,2001,24,0.1,AltSel_F1
Females,2001,25,0.1,AltSel_F1
Males,2001,25,0.1,AltSel_F1
Females,2001,26,0.1,AltSel_F1
Males,2001,26,0.1,AltSel_F1
Females,2001,27,0.1,AltSel_F1
Males,2001,27,0.1,AltSel_F1
Females,2001,28,0.1,AltSel_F1
Males,2001,28,0.1,AltSel_F1
Females,2001,29,0.1,AltSel_F1
Males,2001,29,0.1,AltSel_F1
Females,2001,30,0.1,AltSel_F1
Males,2001,30,0.1,AltSel_F1
Females,2001,31,0.1,AltSel_F1
Males,2001,31,0.1,AltSel_F1
Females,2001,32,0.1,AltSel_F1
Males,2001,32,0.1,AltSel_F1
Females,2001,33,0.1,AltSel_F1
Males,2001,33,0.1,AltSel_F1
Females,2001,34,0.1,AltSel_F1
Males,2001,34,0.1,AltSel_F1
Females,2001,35,0.1,AltSel_F1
Males,2001,35,0.1,AltSel_F1
Females,2001,36,0.1,AltSel_F1
Males,2001,36,0.1,AltSel_F1
Females,2001,37,0.1,AltSel_F1
Males,2001,37,0.1,AltSel_F1
Females,2001,38,0.1,AltSel_F1
Males,2001,38,0.1,AltSel_F1
Females,2001,39,0.1,AltSel_F1
Males,2001,39,0.1,AltSel_F1
Females,2001,0,0.1,base-model
Males,2001,0,0.1,base-model
Females,2001,1,0.1,base-model
Males,2001,1,0.1,base-model
Females,2001,2,0.1,base-model
Males,2001,2,0.1,base-model
Females,2001,3,0.1,base-model
Males,2001,3,0.1,base-model
Females,2001,4,0.1,base-model
Males,2001,4,0.1,base-model
Females,2001,5,0.1,base-model
Males,2001,5,0.1,base-model
Females,2001,6,0.1,base-model
Males,2001,6,0.1,base-model
Females,2001,7,0.1,base-model
Males,2001,7,0.1,base-model
Females,2001,8,0.1,base-model
Males,2001,8,0.1,base-model
Females,2001,9,0.1,base-model
Males,2001,9,0.1,base-model
Females,2001,10,0.1,base-model
Males,2001,10,0.1,base-model
Females,2001,11,0.1,base-model
Males,2001,11,0.1,base-model
Females,2001,12,0.1,base-model
Males,2001,12,0.1,base-model
Females,2001,13,0.1,base-model
Males,2001,13,0.1,base-model
Females,2001,14,0.1,base-model
Males,2001,14,0.1,base-model
Females,2001,15,0.1,base-model
Males,2001,15,0.1,base-model
Females,2001,16,0.1,base-model
Males,2001,16,0.1,base-model
Females,2001,17,0.1,base-model
Males,2001,17,0.1,base-model
Females,2001,18,0.1,base-model
Males,2001,18,0.1,base-model
Females,2001,19,0.1,base-model
Males,2001,19,0.1,base-model
Females,2001,20,0.1,base-model
Males,2001,20,0.1,base-model
Females,2001,21,0.1,base-model
Males,2001,21,0.1,base-model
Females,2001,22,0.1,base-model
Males,2001,22,0.1,base-model
Females,2001,23,0.1,base-model
Males,2001,23,0.1,base-model
Females,2001,24,0.1,base-model
Males,2001,24,0.1,base-model
Females,2001,25,0.1,base-model
Males,2001,25,0.1,base-model
Females,2001,26,0.1,base-model
Males,2001,26,0.1,base-model
Females,2001,27,0.1,base-model
Males,2001,27,0.1,base-model
Females,2001,28,0.1,base-model
Males,2001,28,0.1,base-model
